config,pr_auc,roc_auc,precision_at_5pct,recall_at_5pct,brier
A: tabular -> XGBoost,0.6523266881714983,0.9319585896706819,0.6690140845070423,0.5459770114942529,0.03514718636870384
B: sequence -> GRU,0.5428999958382056,0.8900765134674042,0.5563380281690141,0.4540229885057471,0.10526736825704575
C: sequence + tabular (joint),0.6242262991498987,0.924481724654914,0.6619718309859155,0.5402298850574713,0.09661169350147247
